participant_id	original_participant_id	species	sex
sub-1001658946	sub-1001658946	Mus musculus	M
sub-1001658958	sub-1001658958	Mus musculus	M
sub-599387254	sub-599387254	Mus musculus	M
sub-601462915	sub-601462915	Mus musculus	M
sub-601462926	sub-601462926	Mus musculus	M
sub-601462951	sub-601462951	Mus musculus	F
sub-603513520	sub-603513520	Mus musculus	M
sub-603513553	sub-603513553	Mus musculus	M
sub-604669385	sub-604669385	Mus musculus	M
sub-605770584	sub-605770584	Mus musculus	M
sub-610663829	sub-610663829	Mus musculus	M
sub-610663879	sub-610663879	Mus musculus	F
sub-610663885	sub-610663885	Mus musculus	F
sub-610663891	sub-610663891	Mus musculus	F
sub-612905668	sub-612905668	Mus musculus	F
sub-617297304	sub-617297304	Mus musculus	M
sub-617297314	sub-617297314	Mus musculus	M
sub-617297324	sub-617297324	Mus musculus	F
sub-617297334	sub-617297334	Mus musculus	F
sub-617297348	sub-617297348	Mus musculus	F
sub-626194690	sub-626194690	Mus musculus	M
sub-626194701	sub-626194701	Mus musculus	F
sub-626194722	sub-626194722	Mus musculus	F
sub-626194732	sub-626194732	Mus musculus	F
sub-626194774	sub-626194774	Mus musculus	F
sub-626194785	sub-626194785	Mus musculus	M
sub-626194816	sub-626194816	Mus musculus	M
sub-626194826	sub-626194826	Mus musculus	M
sub-636828314	sub-636828314	Mus musculus	M
sub-637383917	sub-637383917	Mus musculus	M
sub-637383947	sub-637383947	Mus musculus	M
sub-637383957	sub-637383957	Mus musculus	F
sub-637383967	sub-637383967	Mus musculus	M
sub-637383977	sub-637383977	Mus musculus	F
sub-637383987	sub-637383987	Mus musculus	F
sub-637383997	sub-637383997	Mus musculus	M
sub-637384003	sub-637384003	Mus musculus	M
sub-637384133	sub-637384133	Mus musculus	M
sub-639033189	sub-639033189	Mus musculus	F
sub-639390385	sub-639390385	Mus musculus	M
sub-639390395	sub-639390395	Mus musculus	F
sub-639391169	sub-639391169	Mus musculus	F
sub-639391179	sub-639391179	Mus musculus	F
sub-639391189	sub-639391189	Mus musculus	M
sub-639391267	sub-639391267	Mus musculus	M
sub-639391277	sub-639391277	Mus musculus	F
sub-639391289	sub-639391289	Mus musculus	F
sub-639391586	sub-639391586	Mus musculus	F
sub-639391596	sub-639391596	Mus musculus	F
sub-639391815	sub-639391815	Mus musculus	F
sub-639391825	sub-639391825	Mus musculus	M
sub-639391835	sub-639391835	Mus musculus	F
sub-640279025	sub-640279025	Mus musculus	M
sub-640279035	sub-640279035	Mus musculus	M
sub-640279055	sub-640279055	Mus musculus	F
sub-640279075	sub-640279075	Mus musculus	M
sub-640279085	sub-640279085	Mus musculus	M
sub-640279105	sub-640279105	Mus musculus	M
sub-640279115	sub-640279115	Mus musculus	F
sub-640279125	sub-640279125	Mus musculus	M
sub-640279135	sub-640279135	Mus musculus	M
sub-640279145	sub-640279145	Mus musculus	F
sub-642979180	sub-642979180	Mus musculus	M
sub-642979203	sub-642979203	Mus musculus	M
sub-642979214	sub-642979214	Mus musculus	M
sub-642979261	sub-642979261	Mus musculus	M
sub-642979333	sub-642979333	Mus musculus	F
sub-642979348	sub-642979348	Mus musculus	F
sub-642979397	sub-642979397	Mus musculus	F
sub-642979415	sub-642979415	Mus musculus	M
