session_id	original_session_id
ses-720526503	ses-720526503
ses-720529359	ses-720529359
ses-720545115	ses-720545115
ses-720545448	ses-720545448
ses-720547614	ses-720547614
ses-720579592	ses-720579592
ses-720580116	ses-720580116
ses-720598458	ses-720598458
ses-720621876	ses-720621876
ses-720658016	ses-720658016
ses-720678631	ses-720678631
ses-720681598	ses-720681598
ses-720684415	ses-720684415
ses-720692631	ses-720692631
ses-720694978	ses-720694978
ses-720725485	ses-720725485
ses-720754543	ses-720754543
